Unnamed: 0,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,department_Kids Unisex,department_Men,department_Unisex,department_Women,concentration_EDC,concentration_EDP,concentration_EDT,concentration_Oil,concentration_PDT
869,ARMAND BASI,In Red,275.0,107.95,100,EDT,Women,Citrus,"Palisander Rosemary, Oakmoss, White Musk, Amber, Vanilla, Praline, Woody notes","Lily, Jasmine, Violet Leaf, Rose, Blackcurrant, Pink Pepper, Peony",4.5,Parvant Store,4.1,76,False,False,False,True,False,False,True,False,False
870,VERSACE,Eros,430.0,202.0,100,EDT,Men,Arabian,"Madagascar Vanilla, Virginian Cedar, Atlas Cedar, Vetiver, Oakmoss","Tonka Bean, Geranium, Ambroxan",4.5,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
871,Yves Saint Laurent,Manifesto,725.0,207.85,90,EDP,Women,Floral,"Cedar, Sandalwood, Vanilla, Tonka Bean","Lily-Of-The-Valley, Jasmine Sambac",3.0,Number One,4.1,63,False,False,False,True,False,True,False,False,False
872,GUCCI,Bloom,695.0,325.65,100,EDP,Women,Floral,Rangoon Creeper,Tuberose,4.6,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
873,GUCCI,Guilty,354.0,213.95,75,EDT,Women,Floral,Lily and Wild Strawberry,Litchi,4.8,AMLAQ,3.9,135,False,False,False,True,False,False,True,False,False
874,GUCCI,Bloom,573.0,315.85,100,EDP,Women,Floral,Rangoon Creeper,Tuberose,4.2,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
875,VERSACE,Crystal Noir,447.0,172.0,90,EDP,Women,Floral and Oriental,"Sandalwood, Cashmeran, Vanilla Pod And Heliotropine","Tuberose, Frangipani And Jasmine Dry",4.4,flower,4.2,98,False,False,False,True,False,True,False,False,False
876,HUGO BOSS,Boss The Scent,426.0,133.0,100,EDT,Men,Spicy,Leather,Maninka Fruit And Lavender,4.6,Perfume Ms,4.1,537,False,True,False,False,False,False,True,False,False
877,GUCCI,Bloom Nettare Di Fiori,630.0,329.85,100,EDP,Women,Floral,"Patchoulie, Musk, Schijnhulst","Tuberose, Honeysuckle, Jasmine",4.3,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
878,Givenchy,L'interdit,680.0,195.5,80,EDP,Women,Floral,Patchouli and Vetiver,"Tuberose, Jasmine and Orange Blossom",2.3,Pinch Of Perfum,4.2,347,False,False,False,True,False,True,False,False,False
879,LACOSTE,L.12.12 Blanc,244.0,88.0,100,EDT,Men,Woody,"Leather, Suede And Cedar",Mexican Tuberose And Ylang-Ylang,3.7,hadayiq baris,3.8,122,False,True,False,False,False,False,True,False,False
880,LACOSTE,Eau De lacoste,347.0,91.9,100,EDT,Men,Citrus,"Georgywood, Suede, Vetiver, Cedarwood","Tuberose, Olibanum, Ylang-Ylang",4.2,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
