Unnamed: 0,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,department_Kids Unisex,department_Men,department_Unisex,department_Women,concentration_EDC,concentration_EDP,concentration_EDT,concentration_Oil,concentration_PDT
0,PACO RABANNE,1 Million Lucky,395.0,244.55,100,EDT,Men,Woody,"Oakmoss, Patchouli and Vetiver","Hazelnut, Jasmine, Cashmir Wood, Cedar and Honey",5.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
1,Roberto Cavalli,Paradiso Assoluto,415.0,107.95,50,EDP,Women,Floral,"Vanilla, Sandalwood And Patchouli",Wild Jasmine and Red Lily,4.8,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
2,S.T.Dupont,Royal Amber,265.0,186.9,100,EDP,Unisex,Arabian,"Lemon, Mint and Wood Moss",Sandalwood and Cedar,5.0,noon,4.2,98.1K,False,False,True,False,False,True,False,False,False
3,GUESS,Seductive Blue,290.0,103.2,100,EDT,Men,Spicy,"Cashmere Wood, Moss And Rippled Sand Accord",Blue Coral Aquaspace Accord And Geranium,3.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
4,Roberto Cavalli,Uomo,260.0,94.95,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
5,Roberto Cavalli,cavalli,260.0,94.95,50,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,4.8,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
6,HUGO BOSS,The Scent,220.0,220.0,50,EDP,Women,Oriental,Roasted Cocoa,"Lavender, Osmanthus Flower",4.0,rich&light,43.0,4K,False,False,False,True,False,True,False,False,False
7,DORALL COLLECTION,Gold Secret,43.0,12.35,100,EDT,Men,Fruity,Labdanum and Musk,Lavender and Cloves,2.9,B.A.G,3.7,14.1K,False,True,False,False,False,False,True,False,False
8,GUCCI,Bamboo,575.0,189.0,75,EDP,Women,Floral,Sandalwood,Casablanca Lily and Ylang Ylang Extra-Comoros,4.8,Al-Najm,3.7,347,False,False,False,True,False,True,False,False,False
9,Yves Saint Laurent,M7 Oud Absolu,536.0,273.0,80,EDT,Men,Arabian,"Cistus, Myrrh, Oud, Amber",Patchouli,4.5,Al-Najm,3.7,347,False,True,False,False,False,False,True,False,False
10,CERRUTI 1881,1881,335.0,119.55,100,EDT,Men,Fresh,"Musk, Sandalwood, Patchouli, Oak Moss, Cedar, Pepper And Pine Tree","Vetiver, Ylang-Ylang, Rose, Lily-Of-The-Valley And Cassia",4.3,AMLAQ,3.9,135,False,True,False,False,False,False,True,False,False
11,Calvin Klein,IN 2 U MEN,152.0,85.0,100,EDT,Men,Citrus,"White Musk, Vetiver and Cedar",Cacao Pod,3.7,AMLAQ,3.9,135,False,True,False,False,False,False,True,False,False
12,Rasasi,Royale Blue,97.0,45.3,75,EDP,Men,Fruity,Delicate Musky Sensual Woods,Distinct and Exotic,4.5,Bismat Eatar,3.9,66,False,True,False,False,False,True,False,False,False
13,MONTALE,Black Oud,455.0,240.0,100,EDP,Men,Floral,"Mandarin Orange, Agarwood","Musk, Patchouli",3.3,noon,4.2,98.1K,False,True,False,False,False,True,False,False,False
14,Yves Saint Laurent,L'Homme,536.0,273.8,100,EDT,Men,Woody,"Tonka Bean, Tahitian Vetiver, Cedar","Spices, White Pepper, Basil, Violet Leaf",3.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
15,CHLOE,Love Story,483.0,274.95,75,EDP,Women,Floral,"Musk, Cedar, Cashmirwood, Patchouli","Orange Blossom, Stephanotis, Rose, Black Currant, Peach",5.0,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
16,NARCISO RODRIGUEZ,Narciso Rouge,591.0,275.15,90,EDP,Women,Woody,"Cedar Wood, Tonka Beans, Vetiver",Musk,4.5,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
17,DORALL COLLECTION,24 Pure,22.0,9.85,100,EDT,Men,Fresh,"Amber, Musk, Sandalwood, Coumarin, Vanilla","Pink Pepper, Cardomon, Cinnamon, Jasmin, Cumin, Red Fruits, Lily, Nutmeg",4.9,B.A.G,3.7,14.1K,False,True,False,False,False,False,True,False,False
18,Rasasi,Romance,60.0,35.25,45,EDP,Women,Floral,"Amber, Musk, Powdery Notes, Cedar and Sandalwood","Rose,Jasmine",4.5,B.A.G,3.7,14.1K,False,False,False,True,False,True,False,False,False
19,BOUCHERON,Quatre,327.0,171.5,100,EDP,Women,Floral,Golden Woods Musk,"Sambac Jasmine Absolute, Rose Absolute",5.0,Star.perfume,3.9,537,False,False,False,True,False,True,False,False,False
20,NARCISO RODRIGUEZ,Narciso Rodriguez,595.0,200.0,100,EDP,Women,Floral,Patchouli and Sandalwood,Amber and Musk,4.6,hadayiq baris,3.8,122,False,False,False,True,False,True,False,False,False
21,Alina Corel,Monsieur Intense Gold,31.45,31.45,100,EDP,Unisex,Woody,"Rare Wood, Amber Fat, White Musk","Shepherd, Saffron, Teak Wood, Gaiak Wood",5.0,Kathya,3.8,116,False,False,True,False,False,True,False,False,False
22,Revlon,Charlie Gold,143.0,43.0,100,EDT,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",4.0,Golden Perfumesعطر أصلي 100  %,3.6,113,False,False,False,True,False,False,True,False,False
23,TED LAPIDUS,Pour Homme,129.0,44.45,100,EDT,Men,Woody,"Sandalwood, tonka bean, amber, patchouli, musk, oakmoss, cedar, tobacco","Pine tree, honey, orris root, jasmine, caraway, petitgrain, lily-of-the-valley, rose, brazilian rosewood, incense",5.0,neo lek,3.5,88,False,True,False,False,False,False,True,False,False
24,Britney Spears,Fantasy,170.0,90.0,100,EDP,Women,Vanilla,"Luid Sandalwood, Jasmine, Amber, Vanilla","Sweet Napolitano Cake, Verbena, Jacaranda Wood, Grapefruit Blossom",5.0,Cute Shop,3.8,76,False,False,False,True,False,True,False,False,False
25,GUCCI,Bloom Aqua Di Fiori,515.0,311.8,100,EDT,Women,Fruity,Jasmine,Tuberose,4.7,noon,4.2,98.1K,False,False,False,True,False,False,True,False,False
26,Yves Saint Laurent,Body Kouros,510.0,203.6,100,EDT,Men,Woody,Benzoin,"Chinese Cedar, Clary Sage",5.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
27,Van Cleef & Arpels,First,170.95,170.95,100,EDT,Women,Floral,"Honey, Sandalwood, Tonka Bean, Amber, Musk, Civet, Vanilla, Oakmoss, Vetiver","Carnation, Tuberose, Orchid, Orris Root, Jasmine, Hiacynth, Turkish Rose, Ylang-Ylang, Lily-Of-The-Valley, Narcissus",5.0,noon,4.2,98.1K,False,False,False,True,False,False,True,False,False
28,NARCISO RODRIGUEZ,Narciso Rodriguez,465.0,226.0,100,EDP,Women,Musk,"Patchouli, Sandalwood","Amber, Musk",4.0,Brand Land,4.2,98,False,False,False,True,False,True,False,False,False
29,S.T.Dupont,S.T. Dupont,120.0,79.35,100,EDT,Men,Spicy,"Sandalwood, Amber, Patchouli, Musk and Coconut","Carnation, Cypress, Iris, Cinnamon, Lavender and Jasmine",5.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
30,Estee Lauder,Knowing,585.0,220.0,75,EDP,Women,Woody,"Oakmoss, Vetiver, Sandalwood and Amber","Jasmine, Patchouli and Orange Flower",5.0,KAYA,4.3,4K,False,False,False,True,False,True,False,False,False
31,Geoffrey Beene,Grey Flannel For Men,361.0,79.0,120,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver and Cedar","Mimose, Iris, Violet, Sage, Rose, Geranium and Narcissus",5.0,top langri,3.7,347,False,True,False,False,False,False,True,False,False
32,Dolce & Gabbana,The Only One,596.0,187.3,100,EDP,Women,"Oriental, Floral","Marshmallow, Vanilla, Sandalwood And Heliotrope","Coffee, Iris",5.0,Asrar Aljamal,3.5,244,False,False,False,True,False,True,False,False,False
33,Rasasi,Al Wisam Day,177.0,76.0,100,EDP,Men,Oriental,"Oak Moss, And Rich And Musty Oud","Amber Nuanced Clary Sage, Soft And Milky Sandalwood, And Woody Cedarwood",4.3,hadayiq baris,3.8,122,False,True,False,False,False,True,False,False,False
34,Mancera,Black Vanilla,588.0,296.0,120,EDP,Unisex,Woody,Vanilla Pods from Madagascar and White Musk,"Delicate Bulgarian Rose, Violet, and Jasmine",3.0,MAKE UP,3.8,71,False,False,True,False,False,True,False,False,False
35,Dior,Addict,715.0,333.8,100,EDP,Women,Floral,"Bourbon Vanilla, Sandal Wood And Tonka Bean","Night Queen Flower, Bulgarian Rose And Orange Flower",4.5,Parfume-Stor,3.5,63,False,False,False,True,False,True,False,False,False
36,S.T.Dupont,Passenger,182.0,108.9,100,EDT,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",5.0,perfumes--addresses,4.4,59,False,True,False,False,False,False,True,False,False
37,BURBERRY,Brit Rhythm Intense,370.0,136.65,90,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Beans,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",4.6,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
38,Calvin Klein,CK Be,247.0,108.3,200,EDT,Men,Floral,"Musk, Sandalwood, Cedar, Vanilla, Opoponax, Amber","Green Grass, Peach, Jasmine, Freesia, Magnolia, Orchid",5.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
39,GUCCI,Guilty,504.0,214.9,75,EDT,Women,Floral,"Patchouli, Amber","Raspberry Vilolet, Lilac, Peach",5.0,noon,4.2,98.1K,False,False,False,True,False,False,True,False,False
40,AIGNER,Starlight,341.0,126.95,100,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla and White Musk","Cumin, Jasmine and Strawberries",5.0,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
41,BENTLEY,Azure,387.0,107.0,100,EDT,Men,Citrus,"Cashmere Wood, Tonka Bean and Orcanox","Pimento, Tea Accord, Lavender and Clary Sage",4.6,Cute Shop,4.1,538,False,True,False,False,False,False,True,False,False
42,VERSACE,Dylan Blue,85.0,20.5,5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Beans","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",4.4,Princess of beauty,4.2,467,False,True,False,False,False,False,True,False,False
43,Estee Lauder,Modern Muse,450.0,164.4,50,EDP,Women,Floral,"Amber, Musk, Patchouli, Woody Notes","Honey Suckle, Jasmine Sambac, Lily, Tuberose",5.0,King-Perfume,3.9,450,False,False,False,True,False,True,False,False,False
44,Yves Saint Laurent,La Nuit De L'Homme L'Intense,583.0,204.0,100,EDP,Men,Vanilla,"Tonka Bean, Patchouli","Vanilla, Sage",5.0,Parfume-Stor,4.1,319,False,True,False,False,False,True,False,False,False
45,Juicy Couture,Vivi La Juicy Limited Edition,235.0,154.1,100,EDP,Women,Floral,"Amber, Caramel, Vanilla, Sandalwood and Pralines","Honeysuckle, Gardenia, and Jasmine",5.0,AMLAQ,3.9,135,False,False,False,True,False,True,False,False,False
46,Laura Mars,Splandid,36.0,36.0,100,EDP,Women,Floral,"Vanilla, Amber","Jasmine, Geranium, Neroli and Ylang-Ylan",5.0,hadayiq baris,3.8,122,False,False,False,True,False,True,False,False,False
47,GIORGIO ARMANI,Stronger With You,415.0,170.0,100,EDT,Men,Vanilla,"Vanilla, Chestnut, Cedar, Amber wood, Guaiac Wood","Pineapple, Sage, Melon, Cinnamon, Lavender",4.5,hadayiq baris,3.8,122,False,True,False,False,False,False,True,False,False
48,CHLOE,Chloe,631.0,186.0,75,EDP,Women,Floral,"Cedar, Amber","Magnolia, Lily-of-the-valley, Rose",3.5,عالم المشاهير,3.5,75,False,False,False,True,False,True,False,False,False
49,HERMES,Terre D'Hermes,15.0,9.55,2,EDT,Men,Citrus,"Patchouli, Cedar, Vetiver and Benzoin",Pepper and Pelargonium,5.0,beautiful lady,3.8,23,False,True,False,False,False,False,True,False,False
50,Elizabeth Arden,5Th Avenue,135.0,89.4,125,EDP,Women,Floral,"Amber, Vanilla, Clove, Iris, Musk, Sandalwood","Peach, Jasmine, Bulgarian Rose, Violet, Tuberose, Carnation, Nutmeg, Ylang-Ylang",3.8,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
51,VERSACE,Dylan Blue,425.0,217.85,100,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",4.6,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
52,Benetton,Hot Gold,45.0,27.45,100,EDT,Women,Fresh,"Amber, Musk, Sandalwood","Carambola, Rose, Mimosa",4.4,noon,4.2,98.1K,False,False,False,True,False,False,True,False,False
53,PACO RABANNE,Invictus,395.0,210.0,100,EDT,Men,Citrus,Guaiac Wood and Patchouli Heart,Ambregris Accord and Grapefruit Zests,4.8,Boutique Wareef,3.8,98,False,True,False,False,False,False,True,False,False
54,Roberto Cavalli,Nero Assoluto,264.0,129.55,75,EDP,Women,Arabian,"Ebony, Woodsy Notes",Vanilla,5.0,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
55,DORALL COLLECTION,Scholar,19.0,9.45,100,EDT,Men,Floral,"Patchouli, Moss, Woody-Amber, Sandalwood, Musk, Dry Woods.","Jasmine, Peach, Apple, Green Notes, Lavender, Muguet, Dried Fruits.",5.0,B.A.G,3.7,14.1K,False,True,False,False,False,False,True,False,False
56,Calvin Klein,Eternity,131.0,100.0,100,EDT,Men,Floral,"Sandalwood, Amber, Musk, Vetiver and Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-of-the-Valley and Geranium",4.0,hadayiq baris,3.8,122,False,True,False,False,False,False,True,False,False
57,Juicy Couture,Viva La Juicy Noir,490.0,144.45,100,EDP,Women,Fruity,"Amber, Caramel, Vanilla And Sandalwood","Gardenia, Honeysuckle And Jasmine",4.9,Rose Gallary,3.5,63,False,False,False,True,False,True,False,False,False
58,PACO RABANNE,Lady Million,535.0,210.0,80,EDP,Women,Floral,Gardenia,Arabic Jasmine and African Orange Flower,4.7,Beauty Ideas,3.9,61,False,False,False,True,False,True,False,False,False
59,Giorgio Beverly Hills,giorgio,120.0,120.0,90,EDT,Women,Floral,"Sandalwood, Patchouli, Vanilla, Amber, Cedar, Oakmoss, Musk","Ylang-ylang, Seductive Tuberose, Gardenia, Jasmine, Rose, Orchid",5.0,Faces,3.9,61,False,False,False,True,False,False,True,False,False
60,Guerlain,Idylle,430.0,256.0,100,EDP,Women,Floral,Amber Accord and Sandalwood,"Magnolia, Jasmine and Ylang Ylang",4.3,MOON LIGHT,3.9,33,False,False,False,True,False,True,False,False,False
61,Yves Saint Laurent,Libre,655.0,410.0,90,EDP,Women,Floral,"Amber, Vanilla, Ambergris, Musk","Orange Blossom, Jasmine, Lavender",4.9,Parfume-Stor,4.2,25,False,False,False,True,False,True,False,False,False
62,Jean Paul GAULTIER,Scandal,400.0,288.0,50,EDP,Women,Floral,"Patchouli, Beeswax, Caramel, Licorice","Honey, Gardenia, Jasmine, Orange Blossom, Peach",5.0,Shopping life,4.2,20,False,False,False,True,False,True,False,False,False
63,BURBERRY,Mr. Burberry,515.0,179.95,100,EDP,Men,Woody,"Patchouli, Amber, Sandalwood, Vetiver, Benzoin and Cinnamon","Lavender, Cedar, Nutmeg",4.5,noon,4.2,98.1K,False,True,False,False,False,True,False,False,False
64,Ajmal,Raindrops,97.0,47.95,50,EDP,Women,Fruity,Floral Ambery Woody,Animalistic Floral,4.7,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
65,GUCCI,Guilty Absolute,552.0,332.3,90,EDP,Women,Spicy,"Patchouli, Amber","Vetiver, Cypress, Bulgarian Rose, Woody Notes",4.2,Star.perfume,3.9,537,False,False,False,True,False,True,False,False,False
66,BURBERRY,Mr. Burberry,295.0,200.0,100,EDP,Men,Woody,"Patchouli, Amber, Sandalwood, Vetiver, Benzoin Cinnamon","Lavender, Cedar, Nutmeg",5.0,Star.perfume,3.9,537,False,True,False,False,False,True,False,False,False
67,VERSACE,Dylan Blue,85.0,20.5,5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Beans","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",4.4,Princess of beauty,3.5,467,False,True,False,False,False,False,True,False,False
68,J.CASANOVA,ICQ,76.3,76.3,100,EDT,Men,Fresh,"Wood, Cedar Wood, Patchouli, Animal, Sandalwood","Floral, Ylang-Ylang, Jasmin, Cyclamen, Rosewood",5.0,Parisian Store,3.9,425,False,True,False,False,False,False,True,False,False
69,UNITED COLORS OF BENETTON,Cold,51.0,27.95,100,EDT,Women,Spicy,"Amber, Frankincense, Musk, Patchouli, Vanilla, Vetiver","Coriander, Cumin, Pimiento",4.0,top langri,4.2,347,False,False,False,True,False,False,True,False,False
70,YSL,Supreme Bouquet,1215.0,699.0,75,EDP,Unisex,Woody,"Amber, Musk and Patchouli","Tuberose, Jasmine and Ylang-Ylang",5.0,PARFUM.1990,3.5,244,False,False,True,False,False,True,False,False,False
71,TOMMY HILFIGER,Tommy,340.0,129.0,100,EDT,Men,Spicy,"Amber, Cactus And Cotton","Cranberry, Rose And Apple",4.4,AMLAQ,3.9,135,False,True,False,False,False,False,True,False,False
72,RALPH LAUREN,Safari,541.0,178.0,125,EDT,Men,Woody,"Leather, sandalwood, amber, patchouli, musk, oakmoss, cedar","Cyclamen, carnation, cinnamon, tarragon, jasmine, rose",3.5,Pinch Of Perfum,3.5,75,False,True,False,False,False,False,True,False,False
73,EMPORIO ARMANI,Stronger With You,415.0,175.85,100,EDT,Men,Floral,"Amberwood, Cedar, Chestnut, Vanilla","Melon, Pineapple, Sage",4.5,flower,3.8,66,False,True,False,False,False,False,True,False,False
74,TED LAPIDUS,Rumba Passion Ted Lapidus,140.0,95.0,100,EDT,Women,Floral,"Patchouli, Vanilla And Honey",Jasmine And Rose,5.0,Beauty Gallery,3.7,59,False,False,False,True,False,False,True,False,False
75,HUGO BOSS,Dark Blue,159.0,129.0,75,EDT,Men,Citrus,"Benzoin, Olibanum, Patchouli and Suede","Pelargonium, Cypress and Sage",4.5,Diorworld,3.6,30,False,True,False,False,False,False,True,False,False
76,VERSACE,Dylan Blue,425.0,217.85,100,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",4.6,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
77,BOUCHERON,Quatre,462.0,169.75,100,EDP,Women,Floral,"Caramel, Cashmere, Vanilla, White Musk","Apple, Jasmine, Fishing, Rose",4.9,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
78,DORALL COLLECTION,Molto Carina,27.0,8.55,100,EDT,Women,Woody,"Musk, Lactone, Woody Amber","Tropical Fruits, Peach, Jasmin, Water",4.0,B.A.G,3.7,14.1K,False,False,False,True,False,False,True,False,False
79,armani,Stronger With You Intensely,457.0,336.0,100,EDP,Men,Sweet Aromatic,Ambery Woods,Vanilla,4.8,flower,3.9,537,False,True,False,False,False,True,False,False,False
80,PACO RABANNE,1 Million,395.0,173.0,100,EDT,Men,Woody,"Indian Patchouli, amber, woody notes and leather","Rose absolute, musk and cinnamon bark",3.8,Al-Najm,3.7,347,False,True,False,False,False,False,True,False,False
81,VALENTINO,Valentina,500.0,241.0,80,EDP,Women,Floral,"Virginia Cedar,Vanilla,Amber","Strawberry,Tuberose,African Orange Flower,Jasmine",5.0,top langri,3.7,347,False,False,False,True,False,True,False,False,False
82,Ard Al Zaafaran,Oud 24 Hours,47.0,47.0,100,EDP,Unisex,Fresh,"Amber, Incense, Sandalwood, Patchouli And Agarwood (oud)","Spicy Notes, Fruity Notes, Jasmine, Gardenia And Ylang-ylang",4.0,Attractive perfume,3.5,244,False,False,True,False,False,True,False,False,False
83,DKNY,Be Delicious,185.0,148.35,100,EDP,Women,Floral,White Amber and Woods,"Apple, Tuberose, White Muguet, Rose and Violet",4.8,AMLAQ,3.9,135,False,False,False,True,False,True,False,False,False
84,Estee Lauder,Modern Muse,584.0,239.7,100,EDP,Women,Floral,"Patchouli, Amber, Musk, Vanilla, Woodsy Note","Tuberose, Lily, Flower Petals, Honeysuckles, Jasmine Sambac, Chinee Jasmine",4.5,AMLAQ,3.9,135,False,False,False,True,False,True,False,False,False
85,CAROLINA HERRERA,Good Girl,565.0,213.15,80,EDP,Women,Arabian,"Tonka Bean, Cocoa, Sandalwood, Praline, Cinnamon, Cedar, Cashmere Wood","Jasmine Sambac, Tuberose, Orris, Bulgarian Rose, Orange Blossom",4.8,hadayiq baris,3.8,122,False,False,False,True,False,True,False,False,False
86,BURBERRY,Mr.Burberry,515.0,199.9,100,EDP,Men,Woody,"Sandalwood, Vetiver , Guaiac Wood","Birch Leaf, Nutmeg Oil , Cedar",4.6,Faces,3.9,61,False,True,False,False,False,True,False,False,False
87,Guerlain,Ideal,560.0,223.0,100,EDP,Men,Fruity,"Leather, Sandalwood, Tonka Beans","Bulgarian Rose, Cherry, Incense, Vanilla",4.8,Majestueuse,4.8,21,False,True,False,False,False,True,False,False,False
88,GIORGIO ARMANI,Acqua Di Gio,660.0,464.9,200,EDT,Men,Citrus,"Amber, Oak moss, Musk and Cedar","Violet, Coriander, Small Coconut, Peach, Rose, Sea Notes, Freesia And Flower Of Love",3.7,Beautiful Live,412.0,7,False,True,False,False,False,False,True,False,False
89,ELIE SAAB,Girl of Now Shine,504.0,192.0,90,EDP,Women,Arabian,"Iris, Jasmine, Sweet Vanilla And Patchouli",Roasted Almonds And Ylang-ylang,5.0,flower,4.2,98,False,False,False,True,False,True,False,False,False
90,NARCISO RODRIGUEZ,Narciso Rodriguez,436.0,215.75,50,EDP,Women,Spicy,"Patchouli, Sandalwood","Amber, Musk",4.3,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
91,Ajmal,Raindrops,97.0,47.95,50,EDP,Women,Fruity,Floral Ambery Woody,Animalistic Floral,4.7,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
92,Roberto Cavalli,Uomo,349.0,126.0,100,EDT,Men,Floral,Cedar,"Honey, Lavender",5.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
93,MONTBLANC,Emblem Absolu,395.0,116.0,100,EDT,Men,Spicy,"Patchouli, Vetiver and Moss","Pink Pepper, Lavender, Fruits and Honey",4.7,Modon,3.9,537,False,True,False,False,False,False,True,False,False
94,LACOSTE,Eau de Lacoste L. 12.12 Noir,330.0,85.0,100,EDT,Men,Spicy,"Dark Chocolate, Cashmeran, Coumarin And Patchouli","Basil, Verbena And Lavender",4.8,Al-Najm,3.7,347,False,True,False,False,False,False,True,False,False
95,Calvin Klein,CKIN2U,148.0,82.9,100,EDT,Men,Citrus,"Vetiver, Cedar and White Musk",Cacao Pod,5.0,AMLAQ,3.9,135,False,True,False,False,False,False,True,False,False
96,Roberto Cavalli,Florence,230.0,166.8,75,EDP,Women,Floral,"Patchouli, Musk, Amber","Orange Blossom, Grapefruit Blossom, Hibiscus Seed",4.6,AMLAQ,3.9,135,False,False,False,True,False,True,False,False,False
97,TOMMY HILFIGER,Tommy Hilfiger,221.0,124.9,100,EDT,Men,Spicy,"Amber, Cactus And Cotton Flower","Cranberry, Rose And Granny Smith Apple",4.1,AMLAQ,3.9,135,False,True,False,False,False,False,True,False,False
98,LE CHAMEAU,Atelier Intense,88.0,71.25,80,EDT,Men,Arabian,"Vetyver, Amber, Musk, Oakmoss","Spicy, Sandalwood, Ceadarwood, Tonka",5.0,Emper Perfumes,3.5,88,False,True,False,False,False,False,True,False,False
99,LE CHAMEAU,Genesis Oud Malaki,73.0,73.0,100,EDT,Unisex,Arabian,Musk and Vetiver,"Agarwood, Apple, Patchouli and Amber",2.0,Queen Line,3.8,81,False,False,True,False,False,False,True,False,False
100,AVON,Tomorrow,130.0,70.0,50,EDP,Women,Floral,"Powdery, Floral, Woody, Balsamic, Rose",Musk,4.5,Tiffany,3.7,54,False,False,False,True,False,True,False,False,False
101,PACO RABANNE,Invictus,395.0,210.0,100,EDT,Men,Citrus,Guaiac Wood and Patchouli Heart,Ambregris Accord and Grapefruit Zests,4.8,Boutique Wareef,3.8,98,False,True,False,False,False,False,True,False,False
102,Salvatore Ferragamo,Signorina Eleganza,326.0,153.3,100,EDP,Women,Fruity,Patchouli And White Leather,Almond Powder And Golden Osmanthus Petals,5.0,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
103,Carrera,Pour Homme,59.0,43.5,100,EDT,Men,Woody,"Cedar, Tonka Bean, Musk, Leather, Sandalwood And Oakmoss","Anise, Ginger, Cloves And Jasmine",5.0,KAYA,4.3,4K,False,True,False,False,False,False,True,False,False
104,DORALL COLLECTION,Nashwa,43.0,14.2,100,EDT,Women,Woody,"Amber, patchouli, vanilla, musk, sandalwood","Magnolia, gardenia, lily of the valley, freesia, jasmine",5.0,B.A.G,3.7,14.1K,False,False,False,True,False,False,True,False,False
105,Calvin Klein,Euphoria,289.0,94.55,100,EDT,Men,Woody,"Amber, Patchouli, Brazilian Redwood And Suede","Black Basil, Sage And Cedar",4.7,Star.perfume,4.2,537,False,True,False,False,False,False,True,False,False
106,HUGO BOSS,XX,295.0,158.65,100,EDT,Women,Fruity,"Amber, Musk, Sandalwood","Jasmine, Rice, Rose",4.5,Star.perfume,3.9,537,False,False,False,True,False,False,True,False,False
107,Sedr Al-Khaleej Perfumes,Moon Light,55.0,34.3,100,EDP,Women,Citrus,"Tonka Bean, Cocoa, Sandalwood, Praline, Cinnamon, Cedar, Cashmere Wood","Jasmine Sambac, Tuberose, Orris, Bulgarian Rose, Orange Blossom",5.0,SEDR,4.2,288,False,False,False,True,False,True,False,False,False
108,Dunhill,Desire,230.0,84.95,100,EDT,Men,Fresh,"Vanilla, Musk And Labdanum","Rose, Teakwood And Patchouli",4.2,hadayiq baris,3.8,122,False,True,False,False,False,False,True,False,False
109,Dior,Sauvage,1176.0,240.85,100,EDT,Men,Fresh,"Cedar, labdanum, ambroxan","Geranium, lavender, sichuan, pepper, elemi, pink pepper, vetiver, patchouli",3.8,ثروة الجمال,3.9,61,False,True,False,False,False,False,True,False,False
110,TRUSSARDI,My Land,300.0,164.0,100,EDT,Men,Woody,"Leather, Vetiver and Tonka Bean","Lavender, Violet and Calone",4.5,Beautiful Live,412.0,7,False,True,False,False,False,False,True,False,False
111,Dupont,Passenger,95.0,95.0,100,EDT,Men,Woody,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper and Lavender",4.5,Beautiful Live,412.0,7,False,True,False,False,False,False,True,False,False
112,ANGEL SCHLESSER,Essential,287.0,103.95,100,EDP,Women,Oriental,"Sandal Wood, Musk And Vetiver","Peony, Violet, Freesia And Bulgarian Rose",4.6,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
113,Calvin Klein,Euphoria,220.0,91.95,100,EDT,Men,Woody,"Amber, Patchouli, Brazilian Redwood, Suede","Black Basil, Sage, Cedar",5.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
114,PACO RABANNE,Pour Homme,226.0,136.05,100,EDT,Men,Woody,"Honey, Amber, Musk, Oakmoss","Tonka Bean, Lavender, Geranium",4.5,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
115,MONTBLANC,Starwalker,240.0,125.55,75,EDT,Men,Woody,"Ginger, Fir Resin, Nutmeg, Amber","Sandalwood, White Musk, Cedar",5.0,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
